Couleur
transparent
abricot
acajou
aigue-marine
amande
amarante
ambre
améthyste
anthracite
argent
aubergine
aurore
avocat
azur
basané 
beurre
bis
bisque
bistre
bitume
blanc
blé
bleu
bouton
brique
bronze
brou
caca
cacao
cachou
café
cannelle
capucine
caramel
carmin
carotte
chamois
chartreuse
chaudron
chocolat
cinabre
citrouille
cœruleum ou
coquille
corail
cramoisi
cuisse
cuivre
cyan
écarlate
écru
émeraude
fauve
flave
fraise
framboise
fumée
garance
glauque
glycine
grège
grenadine
grenat
gris
groseille
gueules
héliotrope
incarnat
indigo
isabelle
jaune
lapis-lazuli
lavallière
lavande
lie
lilas
lime
lin
magenta
maïs
malachite
mandarine
marron
mastic
mauve
menthe
moutarde
nacarat
nankin
noisette
ocre jaune
ocre
olive
or
orange
orchidée
orpiment
paille
parme
pelure
pervenche
pistache
poil
ponceau ou
pourpre
prasin
prune
puce
rose
rouge
rouille
rubis
sable
safre
sang
sanguine
sarcelle
saumon
sépia
sinople
smalt
soufre
tabac
taupe
terre
topaze
tourterelle ou
turquoise
vanille
vermeil
vermillon
vert
vert-de-gris
violet
viride
zinzolin
noir
nickel
black
carbon
dark blue
light blue
alu
grey

























































